89.6s 289 Epoch:1/51 || Epochiter: 43/202 || Iter: 43/10302 || Loc: 3.1347 Cla: 3.4724 Landm: 13.8742 || LR: 0.00100000 || Batchtime: 0.8562 s || ETA: 2:26:24
92.9s 290 Epoch:1/51 || Epochiter: 44/202 || Iter: 44/10302 || Loc: 2.6602 Cla: 3.4230 Landm: 12.2384 || LR: 0.00100000 || Batchtime: 3.1207 s || ETA: 8:53:35
93.8s 291 Epoch:1/51 || Epochiter: 45/202 || Iter: 45/10302 || Loc: 3.1234 Cla: 3.4597 Landm: 13.8127 || LR: 0.00100000 || Batchtime: 0.5888 s || ETA: 1:40:40
94.9s 292 Epoch:1/51 || Epochiter: 46/202 || Iter: 46/10302 || Loc: 2.7084 Cla: 3.4686 Landm: 12.1624 || LR: 0.00100000 || Batchtime: 0.9187 s || ETA: 2:37:02
95.8s 293 Epoch:1/51 || Epochiter: 47/202 || Iter: 47/10302 || Loc: 2.8913 Cla: 3.3855 Landm: 12.8024 || LR: 0.00100000 || Batchtime: 0.7505 s || ETA: 2:08:17
99.3s 294 Epoch:1/51 || Epochiter: 48/202 || Iter: 48/10302 || Loc: 2.7435 Cla: 3.4435 Landm: 11.1332 || LR: 0.00100000 || Batchtime: 3.2627 s || ETA: 9:17:38
100.4s 295 Epoch:1/51 || Epochiter: 49/202 || Iter: 49/10302 || Loc: 3.0702 Cla: 3.4209 Landm: 12.1680 || LR: 0.00100000 || Batchtime: 0.8861 s || ETA: 2:31:25
101.3s 296 Epoch:1/51 || Epochiter: 50/202 || Iter: 50/10302 || Loc: 2.9643 Cla: 3.2945 Landm: 11.9930 || LR: 0.00100000 || Batchtime: 0.7766 s || ETA: 2:12:42
102.4s 297 Epoch:1/51 || Epochiter: 51/202 || Iter: 51/10302 || Loc: 2.7973 Cla: 3.2965 Landm: 11.9946 || LR: 0.00100000 || Batchtime: 0.8458 s || ETA: 2:24:31
105.6s 298 Epoch:1/51 || Epochiter: 52/202 || Iter: 52/10302 || Loc: 2.6214 Cla: 3.2947 Landm: 11.1244 || LR: 0.00100000 || Batchtime: 3.0217 s || ETA: 8:36:15
106.4s 299 Epoch:1/51 || Epochiter: 53/202 || Iter: 53/10302 || Loc: 2.5997 Cla: 3.3555 Landm: 11.8487 || LR: 0.00100000 || Batchtime: 0.6342 s || ETA: 1:48:20
